Time,L 5 X,L 5 Y,L 5 Z,L 5 Length,L 5 v(X),L 5 v(Y),L 5 v(Z),L 5 v(abs),L 5 a(X),L 5 a(Y),L 5 a(Z),L 5 a(abs),L 5 #2D
0.274999,0.27531892,0.5947929,0.96062678,0.00130404,0.00434967,0.00011563,0.00048638,0.0043783,-0.00550812,-0.00836498,0.01559389,-0.00153988,3
0.283332,0.27534831,0.59479016,0.96062237,0.00133388,0.00436487,0.00007153,0.00068188,0.00441839,0.00198961,0.00090004,0.03446248,0.01116798,3
0.291665,0.27539474,0.5948056,0.96062982,0.00138337,0.00430377,-0.00017643,0.0011921,0.0044693,0.00478035,0.01221428,0.0401536,0.01627715,3
0.299999,0.27543855,0.59482193,0.96064067,0.00143137,0.00440748,-0.00007391,0.00173569,0.00473751,0.00771881,0.02120154,0.03469019,0.01881647,3
0.308332,0.27547529,0.5948084,0.96066272,0.00147631,0.00450851,0.00040233,0.00208856,0.00498504,0.02159076,0.0485591,0.02121107,0.03455656,3
0.316665,0.2754997,0.59478509,0.96068668,0.0015177,0.00455858,0.00077069,0.00207127,0.00506604,0.03862895,0.08511373,0.00183703,0.05818947,3
0.324999,0.27553499,0.59479582,0.9607048,0.00155879,0.00491889,0.00138581,0.00187696,0.00544417,0.04686514,0.09577589,-0.01404058,0.06888898,3
0.333332,0.27558371,0.59483349,0.96071714,0.00162161,0.00558408,0.0026393,0.00169516,0.0064048,0.04665291,0.07903998,-0.01708044,0.06348983,3
0.341665,0.27563313,0.59486192,0.96072382,0.001679,0.00624361,0.00390174,0.00143231,0.00750051,0.03374188,0.05737589,-0.01292359,0.04659938,3
0.349999,0.27569407,0.59489083,0.96073598,0.00174754,0.00645521,0.00407101,0.0013727,0.00775417,0.00342791,0.02506752,-0.01246462,0.01001826,3
0.358332,0.2757459,0.59492218,0.96075428,0.00181082,0.00632557,0.00357749,0.00145376,0.00741112,-0.03188337,-0.01960175,-0.01404415,-0.03959546,3
0.366665,0.2758038,0.59497172,0.96075881,0.00188715,0.00575217,0.00321866,0.00138701,0.0067358,-0.06011414,-0.0565784,-0.01550329,-0.08143561,3
0.374998,0.275848,0.59498835,0.96077895,0.00193849,0.00496837,0.0027603,0.00112057,0.00579306,-0.07825558,-0.07598224,-0.02030508,-0.10393875,3
0.383332,0.27589053,0.59500521,0.96078146,0.00198431,0.00428559,0.00223816,0.0008303,0.00490562,-0.0792891,-0.07984702,-0.02437254,-0.10346422,3
0.391665,0.27591327,0.59501463,0.96079195,0.00201107,0.00354738,0.00124097,0.0006485,0.00381373,-0.06124306,-0.06759579,-0.02377291,-0.08255138,3
0.399998,0.2759414,0.59502703,0.96079165,0.00204181,0.00293733,0.00029028,0.00049651,0.00299311,-0.04118299,-0.05338592,-0.01795783,-0.05833513,3
0.408332,0.27596515,0.59504819,0.96079159,0.00207362,0.00276537,0.00005245,0.00037134,0.00279068,-0.02673705,-0.04165206,-0.01014241,-0.0370816,3
0.416665,0.27598426,0.595016,0.96080065,0.00211213,0.00289531,0.00033975,0.00022054,0.0029235,-0.0084991,-0.0085891,-0.00237228,-0.00988397,3
0.424998,0.27600437,0.59500998,0.96080202,0.00213318,0.00287623,0.00021577,0.00026405,0.00289638,0.00240684,0.016755,0.00949271,0.00575182,3
0.433332,0.27603337,0.59502035,0.96080273,0.00216398,0.00274868,-0.0000006,0.00037909,0.0027747,-0.00881618,-0.00939854,0.02583643,0.00040727,3
0.441665,0.27606121,0.59504604,0.96080184,0.00220187,0.00292243,0.00068903,0.0006181,0.00306552,-0.02504546,-0.05469485,0.03951462,0.00838702,3
0.449998,0.2760841,0.59504646,0.96080482,0.00222496,0.00272901,0.00046969,0.00108898,0.00297556,-0.02650641,-0.06204655,0.04256401,0.02082797,3
0.458331,0.27609691,0.59502566,0.96082067,0.00225408,0.00213177,-0.00108421,0.00161827,0.00288769,-0.02790892,-0.05828905,0.03855616,0.01122753,3
0.466665,0.27613112,0.59504777,0.96083641,0.00229775,0.00169993,-0.00253082,0.00203193,0.00366382,-0.03597946,-0.06463819,0.03194239,0.00375279,3
0.474998,0.27612942,0.59500694,0.96086013,0.002345,0.00172884,-0.00226439,0.00206352,0.00351774,-0.03093089,-0.03321197,0.02311725,0.00444352,3
0.483331,0.27614447,0.59497082,0.96087754,0.00238783,0.00156612,-0.00193656,0.00210465,0.00326076,-0.01836075,0.02776884,0.01617443,-0.00961707,3
0.491665,0.2761471,0.59492928,0.96089387,0.00243255,0.00122667,-0.00186504,0.00223995,0.00316235,-0.02151328,0.04181895,0.01952305,-0.01438629,3
0.499998,0.27617639,0.59495699,0.96090317,0.00247393,0.0011307,-0.00122369,0.00242532,0.00294246,-0.03801794,-0.00502471,0.02926731,0.01585004,3
0.508331,0.27618048,0.5949536,0.96093017,0.00250145,0.00099779,-0.0006187,0.00269295,0.00293774,-0.04459834,-0.05272789,0.0318351,0.05262972,3
0.516665,0.27618459,0.59495121,0.96095395,0.0025257,0.00048906,-0.00140548,0.00310184,0.00344034,-0.04576839,-0.09605365,0.02898835,0.08650552,3
0.524998,0.27618319,0.59492302,0.96098703,0.00256919,-0.00026971,-0.00330926,0.00343145,0.00477481,-0.05317611,-0.15059355,0.02767941,0.12430493,3
0.533331,0.2761873,0.59490925,0.96100998,0.00259627,-0.00059158,-0.00486137,0.00350119,0.00602007,-0.05278093,-0.17900616,0.02523798,0.14836481,3
0.541664,0.27617434,0.59484631,0.96104449,0.00266921,-0.00090897,-0.00630202,0.00358583,0.00730752,-0.03129687,-0.15020494,0.01922027,0.13231237,3
0.549998,0.27616432,0.59479046,0.96107203,0.00273228,-0.00128776,-0.00774208,0.00382425,0.00873058,-0.0043917,-0.10064683,0.01944202,0.09562336,3
0.558331,0.27615201,0.59471071,0.96110386,0.00281903,-0.00138134,-0.00852469,0.0040436,0.00953568,0.0137062,-0.06772929,0.0273313,0.07133574,3
0.566664,0.27614,0.59463954,0.96113771,0.00289875,-0.00093133,-0.00842634,0.0041634,0.00944481,0.03073478,-0.04545491,0.03279233,0.05377251,3
0.574998,0.27612692,0.59455574,0.96117771,0.00299252,-0.00038177,-0.00828985,0.00447573,0.00942865,0.04474437,-0.04011424,0.03415732,0.04896068,3
0.583331,0.27612597,0.59449971,0.96121275,0.00305862,-0.00000536,-0.00867847,0.00486853,0.0099508,0.04537023,-0.06451057,0.03544001,0.07211336,3
0.591664,0.27613673,0.59443593,0.96125281,0.00313469,0.00031471,-0.00939492,0.00522735,0.01075587,0.03546863,-0.10374867,0.03316907,0.10787045,3
0.599998,0.27614599,0.5943684,0.96129698,0.00321592,0.00058413,-0.01057391,0.00547352,0.01192091,0.03603666,-0.11156411,0.02151629,0.11128058,3
0.608331,0.27614462,0.59425354,0.96135014,0.00334249,0.0007686,-0.01190727,0.00563326,0.01319498,0.05018631,-0.08481459,0.00101332,0.08138365,3
