Time,L 5 X,L 5 Y,L 5 Z,L 5 Length,L 5 v(X),L 5 v(Y),L 5 v(Z),L 5 v(abs),L 5 a(X),L 5 a(Y),L 5 a(Z),L 5 a(abs),L 5 #2D
0.266666,-0.04785974,0.3995226,0.93500298,0.00467071,0.00353904,-0.00420781,-0.00068069,0.0055402,0.04111099,0.14689919,0.0011623,-0.08752189,3
0.274999,-0.04782387,0.39952022,0.93499541,0.00470745,0.00376919,-0.00272603,-0.00068069,0.00470121,0.03065507,0.12369432,-0.00841624,-0.06020146,3
0.283332,-0.04777645,0.39950022,0.93498147,0.00476078,0.00403432,-0.00198603,-0.00084281,0.00457498,0.01460407,0.11057226,-0.01862779,-0.04057861,3
0.291665,-0.04774134,0.39949304,0.93498051,0.00479662,0.00420539,-0.00136853,-0.00106812,0.00454962,0.00900904,0.10527994,-0.0280764,-0.01269565,3
0.299999,-0.04771817,0.39947385,0.93497384,0.00482744,0.00408849,-0.00081241,-0.0013429,0.0043794,0.01091615,0.10560299,-0.03092075,0.01629779,3
0.308332,-0.04768699,0.3994562,0.93496603,0.00486411,0.00394305,0.00037342,-0.00165582,0.00429288,0.00633685,0.11166662,-0.02739929,0.02773619,3
0.316665,-0.04764939,0.39947233,0.93494296,0.00491108,0.00420032,0.00154526,-0.00196398,0.00488751,-0.00130818,0.11341723,-0.02081293,0.03288619,3
0.324999,-0.04761041,0.39948699,0.93492138,0.00495798,0.00445159,0.00260533,-0.00205398,0.00555187,-0.00360378,0.10174,-0.01176367,0.0381375,3
0.333332,-0.04757463,0.39953786,0.93490279,0.00502289,0.00428213,0.00328751,-0.00209392,0.00579041,-0.01031032,0.07627428,-0.00175359,0.03090397,3
0.341665,-0.04753498,0.39955613,0.93489039,0.00506828,0.00394704,0.00381501,-0.00201882,0.00584885,-0.02975422,0.05130571,0.00499729,0.00805395,3
0.349999,-0.04750389,0.39958662,0.93487936,0.0051132,0.00372691,0.0040579,-0.00195027,0.00584465,-0.04587466,0.02733016,0.01137744,-0.0151631,3
0.358332,-0.04747786,0.39961326,0.93485653,0.00515689,0.00342233,0.00420274,-0.00184894,0.0057266,-0.04683062,0.00446383,0.02067583,-0.03179611,3
0.366665,-0.04745224,0.39966047,0.93483984,0.00521313,0.00278925,0.00423463,-0.00175715,0.00536652,-0.04337756,-0.01332353,0.02821231,-0.04346988,3
0.374999,-0.04742342,0.39970091,0.93482196,0.00526591,0.00229296,0.00395776,-0.00141502,0.00478789,-0.04183841,-0.02064961,0.03412274,-0.04810495,3
0.383332,-0.04740438,0.39974168,0.93481696,0.00531119,0.00210171,0.00358941,-0.00099242,0.0042762,-0.02872043,-0.01728252,0.03874929,-0.03735635,3
0.391665,-0.04740061,0.39975047,0.93480933,0.00532342,0.00196301,0.00330926,-0.00064791,0.00390185,-0.00464377,-0.00333846,0.03779322,-0.01149713,3
0.399998,-0.04738657,0.39977795,0.93480974,0.00535428,0.00183561,0.00337453,-0.0003326,0.00385584,0.00884996,0.00837214,0.03106738,0.00778422,3
0.408332,-0.04736731,0.39979613,0.93480283,0.00538165,0.0020994,0.00374706,-0.00011385,0.00429661,0.00932329,0.00492098,0.02722047,0.00749531,3
0.416665,-0.04734398,0.39984527,0.93480426,0.00543607,0.00248102,0.00413718,0.00002563,0.00482414,0.00913917,-0.00905878,0.02686999,-0.0018591,3
0.424998,-0.0473265,0.39988214,0.93480533,0.00547689,0.00249771,0.00392975,0.00018239,0.00465991,0.00858894,-0.02085403,0.0246956,-0.01026102,3
0.433332,-0.04730225,0.39992189,0.93481004,0.00552369,0.00231628,0.00324906,0.0004834,0.00401936,0.00362645,-0.02684912,0.02129572,-0.01762579,3
0.441665,-0.04728212,0.39994437,0.93481117,0.00555388,0.00223082,0.00269563,0.00075937,0.00358045,-0.00066119,-0.026445,0.0198497,-0.01935912,3
0.449998,-0.04726603,0.39995158,0.93481791,0.00557276,0.00237324,0.00276239,0.00083924,0.0037373,-0.00024976,-0.01381051,0.01595272,-0.00869245,3
0.458331,-0.04725122,0.39996204,0.93482918,0.0055941,0.00251674,0.00297935,0.00086189,0.00399417,-0.00009002,0.00738923,0.00581269,0.00689273,3
0.466665,-0.04723084,0.39999682,0.93484163,0.0056363,0.00245628,0.00303568,0.00096798,0.00402314,-0.00500265,0.02330262,-0.00380162,0.01528689,3
0.474998,-0.04720008,0.40003961,0.93484312,0.00568902,0.00233312,0.0030929,0.00095845,0.003991,-0.01386943,0.0262066,-0.00911481,0.01285559,3
0.483331,-0.04717682,0.40007362,0.93485069,0.00573091,0.00214786,0.00340702,0.00077129,0.00410073,-0.01905548,0.02868555,-0.01463425,0.0126828,3
0.491665,-0.04716767,0.40007544,0.93485749,0.00574245,0.0019968,0.00384839,0.00055611,0.00437111,-0.01430613,0.04082533,-0.02067463,0.02586094,3
0.499998,-0.04715589,0.40009871,0.93486756,0.00577041,0.00178539,0.00406595,0.00038922,0.00445769,-0.00264794,0.04779794,-0.02271671,0.03861229,3
0.508331,-0.04714697,0.40014553,0.93486738,0.00581808,0.00171938,0.00442924,0.00022292,0.00475648,0.0052934,0.0317773,-0.01699461,0.02944827,3
