Time,L 5 X,L 5 Y,L 5 Z,L 5 Length,L 5 v(X),L 5 v(Y),L 5 v(Z),L 5 v(abs),L 5 a(X),L 5 a(Y),L 5 a(Z),L 5 a(abs),L 5 #2D
0.274999,0.03943863,0.44760159,0.95893115,0.1598289,0.01167853,0.01331394,0.00812295,0.01948414,0.2343962,0.69627249,0.1638855,0.34960586,3
0.283332,0.03956643,0.44791496,0.95903075,0.16018169,0.01314109,0.01741744,0.00940625,0.0237599,0.25769931,0.38472247,0.09639458,0.34705609,3
0.291665,0.03970644,0.44823575,0.95912933,0.16054532,0.0154776,0.01883604,0.00970844,0.02624131,0.24594203,-0.13155207,0.00206826,0.17332773,3
0.299999,0.03984542,0.44853744,0.95925105,0.16089907,0.01836359,0.01704342,0.0092477,0.02670617,0.23707558,-0.51969767,-0.05325598,0.0407239,3
0.308332,0.03995915,0.44842964,0.95929414,0.16106158,0.02036192,0.0087193,0.00784221,0.02349754,0.2346324,-0.66684365,-0.03114966,0.03874057,3
0.316665,0.0401512,0.44841522,0.95934016,0.16125961,0.02159105,-0.00163407,0.00671151,0.0226691,0.20570774,-0.71284872,0.0366798,0.07140668,3
0.324999,0.04037447,0.44844413,0.95938164,0.16148853,0.02301195,-0.00805858,0.00732604,0.02545902,0.15865704,-0.655164,0.12477983,0.17626749,3
0.333332,0.04058616,0.44840786,0.95943612,0.1617101,0.02485971,-0.00966076,0.00982229,0.02842204,0.1176524,-0.47180849,0.21105464,0.28590795,3
0.341665,0.04076625,0.44827369,0.95952523,0.16195171,0.02590615,-0.01239782,0.01246934,0.03131004,0.09337226,-0.30315641,0.23323354,0.28914195,3
0.349999,0.04095943,0.44807693,0.9596532,0.16225569,0.02611018,-0.01494801,0.01493102,0.0335875,0.11903078,-0.19083412,0.15727158,0.23543635,3
0.358332,0.04121336,0.44795817,0.95980364,0.16257384,0.02591643,-0.01731641,0.01638121,0.03521169,0.23027906,-0.0310418,0.03285314,0.22306956,3
0.366665,0.04146086,0.44786993,0.9599542,0.1628767,0.02715885,-0.01816161,0.01588709,0.03632969,0.41645336,0.20415169,-0.07367199,0.29804337,3
0.374998,0.04167265,0.44774121,0.9600938,0.16316113,0.03173144,-0.01491344,0.01373237,0.03765466,0.63891572,0.4923622,-0.14364134,0.45825562,3
0.383332,0.04185928,0.44752008,0.96020788,0.16347218,0.03919621,-0.00878874,0.01146202,0.04177275,0.83035094,0.82618129,-0.17529751,0.66542429,3
0.391665,0.0421715,0.44736761,0.96027368,0.16382581,0.04795682,-0.0008294,0.01026277,0.04904966,0.85866487,1.03923202,-0.18035072,0.80197841,3
0.399998,0.04268317,0.44746456,0.96032506,0.16434911,0.0567757,0.00995461,0.00957791,0.0584321,0.64879704,0.98029268,-0.19077688,0.70347726,3
0.408332,0.04327543,0.44765955,0.96039963,0.16497709,0.06335366,0.02177664,0.00841383,0.06751815,0.28455266,0.70080251,-0.23561551,0.36766312,3
0.416665,0.04385322,0.44791633,0.9605096,0.16561885,0.06408963,0.02834391,0.00611308,0.07034364,-0.10134078,0.29331499,-0.29989004,-0.05977971,3
0.424998,0.04437722,0.44818124,0.96058404,0.16621071,0.05887707,0.02669554,0.00279249,0.06470671,-0.41167885,-0.18225753,-0.3299489,-0.45360067,3
0.433332,0.04485874,0.44845459,0.96058482,0.16676441,0.05163798,0.02027937,-0.00089765,0.05548459,-0.54947525,-0.6000489,-0.28776044,-0.6756776,3
0.441665,0.04526188,0.44863755,0.96051037,0.16721334,0.04567593,0.01244878,-0.00380518,0.04749465,-0.47298175,-0.8447417,-0.17474434,-0.61349505,3
0.449998,0.0455744,0.44864592,0.96044248,0.16753325,0.04241268,0.00485601,-0.00477674,0.04295618,-0.27400336,-0.95777148,-0.02744697,-0.32657549,3
0.458331,0.04587142,0.44859686,0.96040261,0.16783692,0.04196165,-0.00262172,-0.00376822,0.042212,-0.06825486,-1.0152297,0.10137995,0.02910171,3
0.466665,0.04619976,0.44853744,0.96039861,0.16817062,0.04323053,-0.01097922,-0.0014478,0.04462643,0.08330692,-0.9943524,0.16576304,0.30569944,3
0.474998,0.04660704,0.44850272,0.96039796,0.16857938,0.04464741,-0.02091357,0.00081361,0.04930954,0.17153008,-0.82983881,0.14843702,0.41114116,3
0.483331,0.04703346,0.44835985,0.96039999,0.1690291,0.04634533,-0.02977562,0.0020963,0.05512596,0.25552014,-0.4446061,0.06137063,0.37645274,3
0.491665,0.04741025,0.44799304,0.96043193,0.16955592,0.04793831,-0.03377779,0.00206292,0.05867944,0.39599237,0.16007617,-0.06939466,0.35106802,3
0.499998,0.04775989,0.44752416,0.96046847,0.17014195,0.05066441,-0.030262,0.00082732,0.05901996,0.53866559,0.76792562,-0.21320632,0.38772354,3
0.508331,0.04817483,0.44719413,0.96049047,0.1706726,0.05639516,-0.0177557,-0.00152112,0.05914383,0.59046674,1.08721411,-0.32921338,0.38772926,3
0.516665,0.04864335,0.4471319,0.96046191,0.17114609,0.06443389,-0.00089497,-0.00505569,0.06463812,0.52919978,0.9963479,-0.364297,0.32667056,3
0.524998,0.0492557,0.4473215,0.96038979,0.17179117,0.07030478,0.01052175,-0.00940029,0.07170659,0.34828472,0.56985474,-0.30110955,0.24416105,3
0.533331,0.0499129,0.44760266,0.96030068,0.17251152,0.07166336,0.01124923,-0.0128222,0.0736654,0.05608939,0.01136251,-0.16634594,0.06664012,3
0.541664,0.05060025,0.44777274,0.96017009,0.17323154,0.06943741,0.00338526,-0.01336937,0.07079375,-0.21758375,-0.34209406,0.00699523,-0.21065864,3
0.549998,0.05113691,0.44768912,0.96001858,0.17379542,0.06532304,-0.00550511,-0.0114495,0.06654695,-0.31248191,-0.24002148,0.16866699,-0.34912178,3
0.558331,0.05160551,0.44746602,0.95990092,0.17432758,0.06047281,-0.00956331,-0.00849191,0.06181043,-0.26500905,0.19367136,0.24234848,-0.25330618,3
0.566664,0.05205346,0.4472532,0.95986849,0.17482458,0.05825495,-0.00373097,-0.00558319,0.05864069,-0.21045087,0.58636659,0.18855479,-0.1342755,3
0.574998,0.05255166,0.44727591,0.95988238,0.1753235,0.05945103,0.00959758,-0.00372531,0.06033586,-0.19433267,0.64693671,0.05576294,-0.14840584,3
0.583331,0.05303221,0.44742471,0.95988029,0.17582656,0.05980348,0.02073326,-0.00386836,0.06341363,-0.23757516,0.26522437,-0.06938633,-0.23195215,3
0.591664,0.0535979,0.44781625,0.95982873,0.17651647,0.05695295,0.02178678,-0.00625494,0.06129785,-0.34808341,-0.46126133,-0.13659705,-0.25560868,3
0.599998,0.05409002,0.44811109,0.95975375,0.17709504,0.05188195,0.01138543,-0.00899676,0.05387306,-0.4170686,-1.18427038,-0.13522975,-0.18454269,3
0.608331,0.05451451,0.44820884,0.95966583,0.17753942,0.04632816,-0.00686171,-0.0101376,0.04791818,-0.31089526,-1.51449347,-0.06681736,-0.0494624,3
0.616664,0.05480814,0.44798797,0.9595589,0.17792208,0.04298496,-0.02558003,-0.00964169,0.05094121,-0.03035163,-1.26704383,0.0334863,0.14352241,3
0.624997,0.05509427,0.4475604,0.95947254,0.17844376,0.04368531,-0.0377442,-0.00836078,0.05833467,0.29845181,-0.54453367,0.09492359,0.35569718,3
0.633331,0.0554256,0.44710204,0.95941275,0.17901249,0.04932338,-0.03853515,-0.00694755,0.06297636,0.50804204,0.30630073,0.09179302,0.41571999,3
0.641664,0.05589788,0.44677949,0.95937741,0.17958549,0.05756088,-0.02778899,-0.00596704,0.06419571,0.47955868,0.91592753,0.06316711,0.20380184,3
0.649997,0.05640915,0.4465428,0.95934731,0.18014969,0.06396766,-0.01133923,-0.00602844,0.06524402,0.20785259,1.10172915,0.05320475,-0.1460896,3
0.658331,0.05705557,0.44659075,0.95929301,0.18080015,0.06461799,0.00144423,-0.00643852,0.06495402,-0.19370884,0.87920594,0.0738162,-0.44155395,3
0.666664,0.05761933,0.44671482,0.95922965,0.18138087,0.05889398,0.00610771,-0.00610056,0.05952329,-0.5332399,0.42295498,0.11720514,-0.61444873,3
0.674997,0.05815801,0.44696108,0.95914984,0.18197852,0.04979746,0.00411363,-0.00439646,0.05016012,-0.62617779,0.03468304,0.15538341,-0.63367951,3
0.683331,0.05846928,0.44694021,0.959113,0.18229266,0.0417812,-0.00017077,-0.00209332,0.04183395,-0.40483955,-0.04565156,0.15056136,-0.41069213,3
0.691664,0.05870198,0.446805,0.9591195,0.18256186,0.03847372,-0.00292332,-0.00022292,0.03858526,-0.02739075,0.09046388,0.09318307,-0.02034445,3
0.699997,0.05892595,0.44663924,0.95916235,0.18284377,0.04184728,-0.00044227,0.00016272,0.04184994,0.25750482,0.18337932,0.00597124,0.27366215,3
0.70833,0.05929196,0.44667223,0.95918024,0.1832117,0.0499087,0.00685397,-0.00081838,0.05038377,0.31302741,0.114145,-0.07552087,0.31687972,3
0.716664,0.05977574,0.4468236,0.95916235,0.18371892,0.05541854,0.01054172,-0.00229836,0.05645905,0.12685451,-0.10103188,-0.12092449,0.14293717,3
0.724997,0.0603945,0.44709352,0.95909673,0.18439716,0.05469784,0.00670436,-0.00362398,0.05522622,-0.24239112,-0.44031852,-0.11413547,-0.16427299,3
0.73333,0.06090651,0.44718039,0.95906061,0.18491775,0.0484711,-0.00223638,-0.00451865,0.04873261,-0.6182273,-0.74253738,-0.07317599,-0.45830885,3
0.741664,0.0612622,0.44705036,0.95903111,0.18529761,0.04011125,-0.01100813,-0.00495972,0.04188903,-0.79453754,-0.7765224,-0.0250234,-0.5872131,3
0.749997,0.06144287,0.44675481,0.95901465,0.1856444,0.03139453,-0.01865782,-0.00475289,0.03682826,-0.73100859,-0.54130387,0.02001302,-0.54640806,3
0.75833,0.06163245,0.44655052,0.95895749,0.18592891,0.02486488,-0.02253035,-0.00433387,0.03383284,-0.53775603,-0.21965498,0.05901745,-0.43054327,3
0.766664,0.06187619,0.44646636,0.9588961,0.18619399,0.02207146,-0.02154955,-0.00370385,0.03106849,-0.30417916,0.10235873,0.07212223,-0.32777861,3
0.774997,0.06206913,0.44630191,0.95886898,0.18644895,0.02199226,-0.01774676,-0.00288011,0.02840602,-0.0640439,0.43039906,0.0496606,-0.2354193,3
0.78333,0.06221851,0.44611284,0.95886451,0.18668994,0.02243118,-0.01363521,-0.00202001,0.02632788,0.12089644,0.68713319,0.0045562,-0.08638409,3
0.791663,0.06236137,0.44593495,0.95887458,0.18691832,0.02378533,-0.00753912,-0.00213385,0.02504264,0.205119,0.80266941,-0.04960459,0.09308796,3
0.799997,0.06255808,0.44590271,0.95885706,0.18711841,0.0264078,0.00124217,-0.0031221,0.02662071,0.19907244,0.78521466,-0.0980552,0.1932977,3
0.80833,0.06283267,0.44600371,0.95881695,0.18741372,0.0293094,0.01011733,-0.00465812,0.03135442,0.11932991,0.64153886,-0.12133574,0.1776596,3
0.816663,0.06310986,0.44616741,0.95875883,0.18774085,0.0306194,0.01564509,-0.00597479,0.03490007,-0.01500618,0.37441078,-0.11189307,0.06822375,3
0.824997,0.0633807,0.44635057,0.95870745,0.18807182,0.02938461,0.01667029,-0.00677231,0.03445603,-0.1533156,0.07768644,-0.084706,-0.10167237,3
0.83333,0.0636213,0.44649822,0.958646,0.18836072,0.0260755,0.01406973,-0.00708106,0.03046359,-0.23827824,-0.11961742,-0.05460545,-0.24412145,3
0.841663,0.06381751,0.44658521,0.95859414,0.18858153,0.02282122,0.01048271,-0.0072563,0.02614095,-0.2516607,-0.18521285,-0.02946641,-0.29055625,3
0.849997,0.06399626,0.4466635,0.95852154,0.18878974,0.02078422,0.008553,-0.00752929,0.02370291,-0.2104485,-0.15220283,-0.01259695,-0.24436215,3
0.85833,0.06411843,0.44666627,0.95846629,0.18892385,0.02020442,0.00892673,-0.00771228,0.02339624,-0.15700975,-0.07534745,-0.00398875,-0.16550843,3
0.866663,0.06428857,0.44674423,0.95839459,0.18912427,0.01952872,0.00925932,-0.00759605,0.02290864,-0.15235966,-0.05237972,0.0059879,-0.15387581,3
0.874996,0.06446249,0.44684392,0.95833278,0.18933405,0.01853444,0.00933472,-0.00740531,0.02203409,-0.21776247,-0.13992183,0.02158299,-0.24017505,3
0.88333,0.06466051,0.44698581,0.95826775,0.18958619,0.0166814,0.00828031,-0.0072563,0.01998715,-0.31087482,-0.27916661,0.0307419,-0.32043871,3
0.891663,0.06477588,0.44703013,0.95821613,0.18972012,0.01337854,0.00507565,-0.00698092,0.01592108,-0.37703744,-0.38062996,0.02628107,-0.31263372,3
0.899996,0.06487152,0.4470619,0.9581551,0.18983795,0.00910643,0.00009328,-0.00654342,0.01121393,-0.40219674,-0.41740397,0.01564638,-0.25496092,3
0.90833,0.06490752,0.44701183,0.95810288,0.18991876,0.00502365,-0.00475319,-0.00636699,0.00940045,-0.3838591,-0.38225842,-0.00059363,-0.16157143,3
0.916663,0.06494636,0.44697765,0.95804417,0.18999702,0.00215554,-0.0075269,-0.00653925,0.0102011,-0.33692884,-0.28753927,-0.02549429,-0.02336374,3
0.924996,0.06493778,0.44686171,0.95800763,0.19011888,0.00010952,-0.00869099,-0.00689986,0.01109745,-0.29479486,-0.1752623,-0.04360473,0.09646225,3
0.93333,0.06493154,0.44678259,0.95794082,0.19022264,-0.00167423,-0.00904117,-0.00747564,0.01185036,-0.27796775,-0.10584796,-0.03952179,0.14908917,3
0.941663,0.06490628,0.44670334,0.95788229,0.19032434,-0.00395836,-0.0095335,-0.00808063,0.01310927,-0.27205789,-0.08021122,-0.02400305,0.16031283,3
0.949996,0.06488533,0.44665733,0.95779812,0.19042252,-0.00676366,-0.01021807,-0.00819984,0.01474427,-0.25902745,-0.0656556,0.00044823,0.1549657,3
0.958329,0.06482352,0.4465782,0.95772618,0.19054604,-0.00935961,-0.01142089,-0.00783268,0.01671496,-0.22756271,-0.04300682,0.0310245,0.12734093,3
0.966663,0.06472497,0.446464,0.95765805,0.19071156,-0.01095955,-0.01165246,-0.00748578,0.01766149,-0.16898781,-0.00041724,0.04637993,0.07543235,3
0.974996,0.06458362,0.44632444,0.95761269,0.19091532,-0.01194802,-0.01145904,-0.00679674,0.01789583,-0.10444905,0.05456189,0.03727465,0.01729797,3
0.983329,0.06448609,0.44622019,0.95755857,0.19106799,-0.01233009,-0.01046721,-0.00636044,0.01737955,-0.08052518,0.07334233,0.0300755,0.00071807,3
0.991663,0.06440108,0.44617608,0.95750165,0.19117941,-0.01243239,-0.00921432,-0.00633242,0.01672027,-0.09880279,0.04791957,0.03778602,0.03204137,3
0.999996,0.06431992,0.44611412,0.95745373,0.1912922,-0.0128754,-0.00830415,-0.00658813,0.01667748,-0.11620884,0.0337818,0.04853884,0.05692529,3
1.008329,0.06420435,0.44605923,0.95739597,0.19143257,-0.01465513,-0.0091562,-0.00605943,0.0183119,-0.10503903,0.06147495,0.06919438,0.0372819,3
1.016663,0.06406327,0.44595584,0.95734489,0.19161478,-0.01649647,-0.00984285,-0.00500562,0.01985123,-0.06571438,0.12591881,0.10491218,-0.01821447,3
1.024996,0.0639189,0.44587794,0.95728618,0.19178902,-0.01712121,-0.00875655,-0.00397565,0.01963717,0.00322133,0.216341,0.12965308,-0.09184914,3
1.033329,0.06374649,0.44575745,0.95727563,0.19199961,-0.01600957,-0.00531348,-0.00279666,0.01709856,0.09625724,0.31479788,0.11629197,-0.16923824,3
1.041662,0.06361503,0.44573471,0.95726371,0.19213356,-0.01438579,-0.00137717,-0.00153244,0.01453258,0.16337049,0.35185382,0.08356518,-0.20826313,3
1.049996,0.06350351,0.44573718,0.95725656,0.19224533,-0.01261999,0.00196875,-0.00075996,0.01279522,0.16056712,0.2746461,0.0475053,-0.18265064,3
1.058329,0.06343827,0.44584313,0.95725161,0.19236986,-0.01085673,0.0044498,-0.00088156,0.01176633,0.09714072,0.10893611,0.00482086,-0.10241643,3
1.066662,0.06334743,0.44586906,0.95724547,0.19246453,-0.01001511,0.00484141,-0.00121236,0.01118979,0.01734924,-0.05453749,-0.03122476,-0.01046886,3
1.074996,0.06326507,0.44591692,0.95724219,0.19255984,-0.01050879,0.00286968,-0.00166715,0.01102039,-0.0627901,-0.17134923,-0.04152809,0.06604518,3
1.083329,0.06317983,0.44591889,0.95721972,0.19264801,-0.0120606,-0.00052452,-0.00215948,0.01226363,-0.13108464,-0.22888547,-0.02865455,0.12206488,3
1.091662,0.06308708,0.44592646,0.95719761,0.19274366,-0.01351444,-0.00284643,-0.00241638,0.01402074,-0.16444582,-0.21326058,-0.00478749,0.1601817,3
1.099996,0.06296575,0.44587588,0.95717132,0.19287771,-0.01501693,-0.00420244,-0.002383,0.0157749,-0.15488413,-0.12712222,0.03120327,0.15985821,3
1.108329,0.06281421,0.44580317,0.95714861,0.19304731,-0.01632786,-0.00460895,-0.00192643,0.01707491,-0.13657707,-0.03461868,0.07563652,0.13616484,3
1.116662,0.06267178,0.4457584,0.95714182,0.19319677,-0.01738291,-0.00459107,-0.0011921,0.01801845,-0.15053719,-0.0301298,0.11305543,0.15095101,3
1.124995,0.06252411,0.44573969,0.95712698,0.19334637,-0.01798592,-0.0036201,0.00006259,0.01834673,-0.20155635,-0.13729142,0.13255821,0.23762645,3
1.133329,0.06238557,0.44572878,0.95713437,0.19348553,-0.01935602,-0.00372948,0.00157595,0.01977493,-0.29410312,-0.3335104,0.137751,0.41273412,3
1.141662,0.06222253,0.44570002,0.95714194,0.19365127,-0.02222286,-0.00728282,0.00282468,0.02355576,-0.42465228,-0.60410023,0.13772479,0.67259151,3
1.149995,0.0620487,0.44566187,0.95718622,0.19383466,-0.02646684,-0.01419252,0.00372411,0.03026203,-0.53607714,-0.87865341,0.1303421,0.92760831,3
1.158329,0.06180511,0.44554552,0.9572323,0.19410852,-0.03217788,-0.02371023,0.00454428,0.04022737,-0.5441646,-0.97153497,0.10616986,1.00363076,3
1.166662,0.06151988,0.445301,0.95726764,0.19448587,-0.03826671,-0.03470435,0.00568809,0.05197198,-0.42383534,-0.78950751,0.06603058,0.81491113,3
1.174995,0.0611662,0.44495016,0.95730293,0.19498529,-0.04242206,-0.0435208,0.00659647,0.06113269,-0.19440807,-0.41676316,0.01815687,0.41242999,3
1.183329,0.06075744,0.44448712,0.95735431,0.19560507,-0.04281817,-0.04496771,0.00643971,0.06242564,0.10559531,0.08001228,-0.05606101,-0.13692378,3
1.191662,0.0603507,0.444015,0.95744389,0.19623464,-0.03973433,-0.03967629,0.00546279,0.0564169,0.38323349,0.58490819,-0.16206035,-0.67379612,3
1.199995,0.06001611,0.44365758,0.95751154,0.19672889,-0.03423459,-0.0313474,0.00398459,0.04658909,0.53158504,0.85456651,-0.24066998,-0.95071971,3
1.208328,0.05978703,0.44352919,0.95751375,0.1969915,-0.02773706,-0.0204853,0.00124753,0.03450432,0.53060389,0.79176396,-0.24675447,-0.90752912,3
1.216662,0.05962039,0.44346195,0.95750391,0.19717146,-0.02264136,-0.01196985,-0.00211359,0.02569778,0.44506565,0.58447289,-0.20603226,-0.71216637,3
1.224995,0.05946268,0.44339162,0.95747066,0.19734731,-0.02020509,-0.00939343,-0.00402512,0.02264252,0.33264747,0.38340816,-0.13839953,-0.49129888,3
1.233328,0.05931691,0.44337353,0.95742536,0.19750103,-0.01929887,-0.01130019,-0.00398637,0.02271634,0.23983611,0.22430842,-0.03825101,-0.31626815,3
1.241662,0.05913083,0.44322941,0.957371,0.1977426,-0.01797624,-0.01112615,-0.00332655,0.02140098,0.20973086,0.2016751,0.05886126,-0.26527053,3
1.249995,0.05896893,0.44312111,0.95734197,0.19793953,-0.01602541,-0.00811342,-0.002594,0.01814855,0.22752585,0.34745494,0.09584862,-0.27417701,3
1.258328,0.05883309,0.4429473,0.95735323,0.19816041,-0.01360988,-0.00389727,-0.00153363,0.01423972,0.23345013,0.51001006,0.07857743,-0.22193368,3
1.266662,0.05875959,0.44301328,0.95734662,0.1982594,-0.01117908,0.0013429,-0.00041962,0.01126727,0.19976954,0.53735149,0.05564258,-0.11530498,3
1.274995,0.05869032,0.44309434,0.95733649,0.19836651,-0.00947308,0.00715318,-0.00027716,0.01187367,0.14648588,0.4815093,0.03758103,0.00579841,3
1.283328,0.05862302,0.44319743,0.95733148,0.19848973,-0.00880759,0.01140241,-0.00062764,0.0144216,0.09043568,0.39778084,0.01150617,0.12103476,3
1.291662,0.05853597,0.44327021,0.95733553,0.19860326,-0.00881497,0.01301979,-0.00063122,0.01573585,0.04136021,0.27913621,-0.00738746,0.16675583,3
1.299995,0.05846358,0.44337499,0.95733023,0.19873072,-0.00866644,0.01460707,-0.00043214,0.01699001,-0.00130406,0.13818918,-0.00065208,0.11285816,3
1.308328,0.05838653,0.44350547,0.95732057,0.19888255,-0.00851318,0.0155235,-0.00045896,0.01771056,-0.05707069,-0.01286272,0.01626505,0.02695908,3
1.316661,0.05832927,0.44368213,0.95731193,0.19906847,-0.00863574,0.01592493,-0.0005579,0.01812432,-0.13195655,-0.17227013,0.01985328,-0.0151065,3
1.324995,0.05826139,0.443818,0.95731753,0.19922045,-0.00990838,0.01399701,-0.00027597,0.01715134,-0.1982526,-0.29498401,0.01079091,-0.01012141,3
1.333328,0.05818338,0.44393289,0.95731062,0.19935949,-0.012673,0.00930939,0.00023067,0.0157265,-0.2278982,-0.34614843,0.00397685,-0.00149759,3
1.341661,0.05808173,0.44400972,0.95731282,0.19948693,-0.01568037,0.00445606,0.000211,0.01630261,-0.207259,-0.3210606,-0.00427488,0.00022329,3
1.349995,0.05792493,0.44400451,0.95731753,0.19964388,-0.01753818,0.00203372,-0.00020206,0.01765686,-0.12748869,-0.19377445,-0.0254645,0.01491547,3
1.358328,0.05773178,0.44395673,0.9573285,0.19984314,-0.01792431,0.00164122,-0.00051499,0.01800665,-0.01427705,-0.01074621,-0.04385864,0.00980884,3
1.366661,0.05756618,0.44394326,0.95731366,0.20000996,-0.01714076,0.00280709,-0.00080884,0.01738792,0.07084102,0.11870837,-0.04236731,-0.02399048,3
1.374995,0.05743615,0.44400439,0.9572984,0.20015445,-0.01566554,0.00501337,-0.00131846,0.01650095,0.0892063,0.14587341,-0.03579645,-0.04179848,3
1.383328,0.05735099,0.44409633,0.95728207,0.20028083,-0.01422213,0.00722501,-0.00167371,0.01603967,0.05972498,0.11000004,-0.03682048,-0.02617079,3
