Time,L 5 X,L 5 Y,L 5 Z,L 5 Length,L 5 v(X),L 5 v(Y),L 5 v(Z),L 5 v(abs),L 5 a(X),L 5 a(Y),L 5 a(Z),L 5 a(abs),L 5 #2D
0.266666,0.24525678,0.41687521,1.08214796,0.00374286,-0.0099871,-0.00723067,-0.00055194,0.01234218,0.08326688,0.07457795,-0.02793096,-0.10935941,3
0.274999,0.24518543,0.41682628,1.08214319,0.00382951,-0.00912193,-0.00621679,-0.00084758,0.01107143,0.05530349,0.03555094,-0.02712033,-0.06356984,3
0.283332,0.24510504,0.41675809,1.08213151,0.00393557,-0.0087044,-0.00595095,-0.00118018,0.01061005,0.02519456,-0.00242586,-0.02127426,-0.01687354,3
0.291665,0.24504742,0.41672945,1.08212018,0.00400091,-0.00882301,-0.00641974,-0.00136495,0.01099644,0.00994183,-0.03004457,-0.01203785,0.01161677,3
0.299999,0.24497916,0.41669223,1.0821054,0.00408005,-0.0093225,-0.0074527,-0.00137091,0.01201379,0.01844118,-0.03329666,-0.00055792,0.00610491,3
0.308332,0.24490432,0.41663137,1.0820955,0.00417702,-0.00930417,-0.00786665,-0.00125528,0.01224857,0.05846962,0.00928469,0.00652795,-0.05220086,3
0.316665,0.24479854,0.41652897,1.0820843,0.00432467,-0.00865418,-0.0077391,-0.00112534,0.01166426,0.12410381,0.09219779,0.00435834,-0.1540584,3
0.324999,0.244721,0.41644099,1.08207762,0.00444213,-0.00722843,-0.00662151,-0.00100613,0.00985428,0.18282261,0.1731195,-0.00404362,-0.23523158,3
0.333332,0.24466476,0.41639897,1.08206975,0.00451277,-0.00512051,-0.00448557,-0.00110865,0.00689703,0.2035619,0.21197549,-0.01296292,-0.24441749,3
0.341665,0.24465083,0.41639063,1.08206177,0.00453087,-0.00277565,-0.00172735,-0.00134469,0.00353499,0.18523511,0.2072643,-0.02011314,-0.20818366,3
0.349999,0.24463898,0.41639429,1.08205283,0.00454616,-0.0010863,0.00032187,-0.00163079,0.00198573,0.14334288,0.17017382,-0.02236383,-0.14603691,3
0.358332,0.24463974,0.41639915,1.08203292,0.00456667,-0.00041455,0.00116438,-0.00180484,0.00218748,0.09462404,0.11669491,-0.01638186,-0.06009894,3
