Time,L 5 X,L 5 Y,L 5 Z,L 5 Length,L 5 v(X),L 5 v(Y),L 5 v(Z),L 5 v(abs),L 5 a(X),L 5 a(Y),L 5 a(Z),L 5 a(abs),L 5 #2D
0.791663,0.06773932,0.51368392,0.94750953,0.04030589,0.0486352,-0.00803831,0.0039375,0.04945201,-0.41480932,-0.4264496,-0.07303894,-0.3108882,3
0.799997,0.06810049,0.51356274,0.94756055,0.04069025,0.04190134,-0.01364356,0.00396969,0.04424508,-0.52818662,-0.5658673,-0.1268826,-0.33260497,3
0.80833,0.06841317,0.51346028,0.94761503,0.04102376,0.03600351,-0.01632757,0.00247122,0.03960996,-0.48865062,-0.70411533,-0.16327751,-0.1321352,3
0.816663,0.06860375,0.51321518,0.94765395,0.04133666,0.03212912,-0.02055951,-0.00034213,0.03814565,-0.27616075,-0.78244954,-0.14486668,0.20051292,3
0.824997,0.06885002,0.51307166,0.94763291,0.04162248,0.03097018,-0.0286473,-0.00269772,0.04227407,0.03428547,-0.80426413,-0.05661413,0.51250458,3
0.83333,0.06913106,0.51290488,0.94756019,0.04195727,0.03191715,-0.03939167,-0.0027156,0.05077187,0.33866158,-0.66150373,0.08484193,0.66983747,3
0.841663,0.06942185,0.5125823,0.94748825,0.04239749,0.03690355,-0.04651923,-0.00055254,0.05938195,0.57941616,-0.20477577,0.21608527,0.60221553,3
0.849997,0.06970524,0.51202554,0.94749153,0.04302224,0.04385303,-0.04814406,0.00292302,0.06518806,0.72121775,0.5025785,0.26694158,0.40176782,3
0.85833,0.07002106,0.51141179,0.9475795,0.04371807,0.05166648,-0.03992097,0.006125,0.06557915,0.71729308,1.19448793,0.22386014,0.21737155,3
0.866663,0.070536,0.51107687,0.94767827,0.04434023,0.05834588,-0.02326677,0.00783625,0.0633008,0.58824807,1.6474427,0.12363053,0.11734272,3
0.874996,0.07111023,0.51101345,0.94775534,0.04492306,0.06275232,-0.00305415,0.00779811,0.06330871,0.42647919,1.74493408,0.02411387,0.12117516,3
0.88333,0.07173402,0.51125634,0.94778484,0.04559312,0.06423492,0.01358038,0.00684383,0.06601053,0.2682156,1.4373287,-0.01845139,0.18371014,3
0.891663,0.07222532,0.51145786,0.94782579,0.04612573,0.06499808,0.02429376,0.00582995,0.06963423,0.12349115,0.86073738,0.00153779,0.17895539,3
0.899996,0.07269463,0.51168358,0.94788253,0.04664958,0.06604356,0.02778541,0.00591936,0.0718945,-0.03604106,0.19649076,0.05110301,0.00410357,3
0.90833,0.0732034,0.51185834,0.94794482,0.04719112,0.06643054,0.02517949,0.00729206,0.07141566,-0.25230902,-0.43077931,0.09521323,-0.30823481,3
0.916663,0.07385945,0.51216102,0.94798815,0.04791493,0.0647321,0.01891501,0.00886801,0.06801958,-0.5205012,-0.93727511,0.09957758,-0.58955896,3
