Time,L 5 X,L 5 Y,L 5 Z,L 5 Length,L 5 v(X),L 5 v(Y),L 5 v(Z),L 5 v(abs),L 5 a(X),L 5 a(Y),L 5 a(Z),L 5 a(abs),L 5 #2D
0.266666,0.06326417,0.53162998,0.94700086,0.01707774,-0.01720152,-0.02164492,-0.00488939,0.0280767,0.51323122,0.70287299,-0.05279228,-0.85792625,3
0.274999,0.06313334,0.53148299,0.94696218,0.01727828,-0.01426136,-0.01703806,-0.00457289,0.02268464,0.40349135,0.54937333,-0.01481311,-0.66805035,3
0.283332,0.06300235,0.5313372,0.94693214,0.01747657,-0.01197015,-0.01402801,-0.00427725,0.01893051,0.29758245,0.36817259,-0.00622398,-0.45728409,3
0.291665,0.06290399,0.53120583,0.94690013,0.01764377,-0.00974182,-0.01157288,-0.00429632,0.01572556,0.18550149,0.13593182,-0.02620122,-0.2030541,3
0.299999,0.06284259,0.5311321,0.94686759,0.01774509,-0.00758457,-0.00960652,-0.00472667,0.01312068,0.06449076,-0.11647556,-0.05203769,0.07228349,3
0.308332,0.06280312,0.53108132,0.9468227,0.01782352,-0.00709864,-0.01091306,-0.00547292,0.01412227,-0.04798912,-0.33484963,-0.05702304,0.31417549,3
0.316665,0.06277882,0.53105587,0.94677699,0.01788121,-0.00899184,-0.01667387,-0.00624659,0.01994721,-0.12920904,-0.48640409,-0.03522664,0.48003644,3
0.324999,0.06270332,0.53092146,0.94671923,0.01804584,-0.01173382,-0.02365539,-0.00669005,0.02723998,-0.15989152,-0.5261454,0.00179172,0.52349508,3
0.333332,0.06258263,0.53065854,0.94665658,0.01834184,-0.01354901,-0.02890956,-0.00629964,0.03254265,-0.12088224,-0.41774029,0.04074131,0.40895724,3
0.341665,0.06240353,0.53027284,0.94659531,0.01877148,-0.0138556,-0.03129495,-0.00545444,0.03465693,-0.03914595,-0.25408816,0.07137595,0.23056681,3
0.349999,0.06227494,0.52998924,0.94654739,0.01908654,-0.01327822,-0.03126038,-0.00456454,0.0342689,0.00175386,-0.21034059,0.08152311,0.17936303,3
0.358332,0.06219646,0.52977502,0.94653308,0.01931513,-0.01239342,-0.03051591,-0.00387491,0.03316373,-0.04636408,-0.34168416,0.0714379,0.32430169,3
0.366665,0.06214302,0.529625,0.94650954,0.01947612,-0.01208996,-0.03242327,-0.00337244,0.03476793,-0.13649741,-0.54569691,0.05990196,0.55068982,3
0.374998,0.06203995,0.5293566,0.94648349,0.0197648,-0.01410054,-0.03978805,-0.00307084,0.04232427,-0.19114909,-0.68261701,0.05786705,0.70040548,3
0.383332,0.06190436,0.52899688,0.94644248,0.0201514,-0.01768466,-0.04980763,-0.00276269,0.05292617,-0.17632145,-0.66650909,0.06389074,0.68248051,3
0.391665,0.06173906,0.52849817,0.94641691,0.02067742,-0.02040424,-0.05738937,-0.0021571,0.06094691,-0.0762013,-0.46844259,0.07137117,0.46586978,3
0.399998,0.06153885,0.52791858,0.94640803,0.02129069,-0.02027903,-0.05928183,-0.00136018,0.06266917,0.10582408,-0.14871839,0.07457078,0.11161096,3
0.408332,0.061338,0.52736098,0.9464075,0.02188336,-0.01776822,-0.05686783,-0.0005424,0.05958148,0.30115741,0.13624395,0.06878193,-0.20643879,3
0.416665,0.06117961,0.52690834,0.94640833,0.02236291,-0.01376128,-0.05287907,-0.00001013,0.05464036,0.41234568,0.2375775,0.05243343,-0.32019565,3
0.424998,0.06110658,0.52656186,0.94640499,0.02271702,-0.00907149,-0.0495704,0.00027239,0.05039435,0.4031052,0.13609281,0.02633592,-0.20952141,3
0.433332,0.0610768,0.52621675,0.94640583,0.02306341,-0.00497079,-0.04856248,0.00039816,0.04881784,0.3145974,-0.05718183,-0.00827796,0.00469519,3
0.441665,0.06106301,0.52578539,0.94641477,0.02349508,-0.00287009,-0.05086383,0.00032067,0.05094575,0.19530028,-0.21822898,-0.04714765,0.19075973,3
0.449998,0.06104972,0.52533293,0.9464215,0.02394779,-0.00265655,-0.05517922,-0.00014126,0.05524331,0.08205719,-0.28718609,-0.08607695,0.28006566,3
0.458331,0.06102882,0.52484798,0.94642454,0.02443319,-0.00310225,-0.05900585,-0.00115931,0.05909872,0.00967733,-0.25664431,-0.12002565,0.25993204,3
0.466665,0.06099422,0.52435827,0.94640994,0.02492434,-0.00338366,-0.06046498,-0.00250579,0.0606114,-0.0102096,-0.14544348,-0.13979189,0.15236007,3
0.474998,0.06095805,0.52382731,0.94638216,0.02545725,-0.00330416,-0.06028676,-0.00392081,0.06050441,-0.00470557,-0.0033378,-0.13888229,0.01192347,3
0.483331,0.06092424,0.52328569,0.94633728,0.02600179,-0.00307632,-0.05947673,-0.00517192,0.05978039,-0.00754049,0.07700474,-0.12196161,-0.06711402,3
0.491665,0.06091064,0.52281582,0.94628906,0.02647432,-0.00296028,-0.05832338,-0.00603142,0.0587091,-0.01342727,0.07232926,-0.09480793,-0.06282273,3
0.499998,0.06089443,0.52235097,0.94623238,0.0269429,-0.00323379,-0.05685948,-0.00662389,0.05733528,0.00990964,0.07372338,-0.05887915,-0.06805656,3
0.508331,0.06087071,0.52190381,0.94617558,0.02739427,-0.00387149,-0.05716764,-0.00705543,0.05773133,0.07386335,0.1324821,-0.01756208,-0.13177556,3
0.516665,0.06083025,0.52142334,0.94611758,0.02787992,-0.00356579,-0.05753898,-0.00714961,0.05809101,0.16335268,0.19393347,0.03840236,-0.19557317,3
